bear_sum,bluey2_sum,camo2_sum,greys_sum,inverse_ring_sum,orn_grn_sum,pinks_sum,reversed_ring_sum,ring_sum,standard_1_sum,standard_2_sum,standard_3_sum,usr_scores_bear_mean,usr_scores_bluey2_mean,usr_scores_camo2_mean,usr_scores_greys_mean,usr_scores_inverse_ring_mean,usr_scores_orn_grn_mean,usr_scores_pinks_mean,usr_scores_reversed_ring_mean,usr_scores_ring_mean,usr_scores_standard_1_mean,usr_scores_standard_2_mean,usr_scores_standard_3_mean,cb1_responses,cb2_responses,ncb_responses,cb1_percent_correct,cb2_percent_correct,ncb_percent_correct,percent_correct,responses,unknown_1_corr,male_ncb_2_corr,colourblind_type1_3_corr,unknown_4_corr,unknown_5_corr,unknown_6_corr,unknown_7_corr,male_8_corr,male_9_corr,male_ncb_10_corr,colourblind_type2_11_corr,male_12_corr,male_13_corr,unknown_14_corr,unknown_15_corr,female_16_corr,female_17_corr,unkown_18_corr,unkown_19_corr,male_20_corr,unknown_21_corr,unknown_22_corr,unknown_23_corr,colourblind_type2_24_corr,male_ncb_25_corr,female_ncb_26_corr,male_ncb_27_corr,colourblind_type1_28_corr,female_ncb_29_corr,unknown_30_corr,user
4,1,3,1,2,21,0,3,4,12,4,2,0.17391304347826086,0.041666666666666664,0.10344827586206896,0.043478260869565216,0.08333333333333333,0.7777777777777778,0.0,0.09375,0.25,0.48,0.14814814814814814,0.07407407407407407,75,147,205,0.2459016393442623,0.4819672131147541,0.6721311475409836,0.18688524590163935,305,0.1680460854688691,0.22542469505128881,-0.386081928062931,0.3751133820286207,0.3627231456114783,0.2751512298833126,0.4025956783445408,0.3429302809274555,0.08059549326783969,-0.14649693982912876,1.0,0.0866867011612976,0.2790860828231883,0.17167462303735548,0.3368994248598398,0.18810822882360587,0.25471445409919846,0.12524658852011505,0.2789357833532529,0.3344236156981504,0.21261479458716062,0.32666397795939356,0.18042020420794583,0.7009704672264123,0.3615053632922164,0.19894399585163522,0.3081029504275337,-0.6082157416864183,0.24639863187580605,0.17775903698187426,colourblind_type2_11
5,2,6,3,2,4,3,3,3,4,2,4,1.0,1.0,1.0,1.0,0.5,1.0,0.375,0.75,0.3333333333333333,0.6666666666666666,1.0,1.0,17,34,32,0.2982456140350877,0.5964912280701754,0.5614035087719298,0.7192982456140351,57,0.5030729401456548,0.8740028044763736,0.0445007506352494,0.8013182744854291,0.6736435338041555,0.8143838792154443,0.736937019258675,0.6142452138772104,0.6098304433468611,0.5562040325336463,0.0866867011612976,1.0,0.6517551869548048,0.6902192655589712,0.6703731872019634,0.8471532286091674,0.7681431158529514,0.5446372253987598,0.8149894870383264,0.7065644536565437,0.31609700397757123,0.4958429477960547,0.37968233912879124,-0.089507456470401,0.8202784559904048,0.8523828889274692,0.7812356962166143,0.08902579619655236,0.835426376073277,0.8113527153709618,male_12
6,2,6,3,2,4,2,1,7,5,2,4,1.0,1.0,1.0,1.0,0.5,1.0,0.2857142857142857,0.2,0.875,0.8333333333333334,1.0,1.0,17,32,33,0.2982456140350877,0.5614035087719298,0.5789473684210527,0.7719298245614035,57,0.687901945564981,0.723996337695951,-0.011980817253978177,0.8853898037381487,0.8764783192717577,0.8863982235368538,0.8018032628447733,0.6295835804802898,0.7550740067160514,0.41978588761021074,0.2790860828231883,0.6517551869548048,1.0,0.8608398865493919,0.9745870595514374,0.7937855840338961,0.8868167431029927,0.4694876223878139,0.8796505652010401,0.96197672483933,0.5727843292414379,0.7455013002636568,0.8257452171411146,0.1867890020414904,0.8025721342471956,0.8342565319548974,0.9655733418149208,0.2006584409268056,0.8212469290434088,0.9325407263987653,male_13
8,12,17,13,7,13,0,2,6,13,15,15,0.2962962962962963,0.42857142857142855,0.5666666666666667,0.5652173913043478,0.18421052631578946,0.37142857142857144,0.0,0.08,0.2608695652173913,0.4642857142857143,0.5,0.39473684210526316,83,177,239,0.23714285714285716,0.5057142857142857,0.6828571428571428,0.3457142857142857,350,0.32777109929090553,0.7927851284404874,0.2603635126420417,0.8091539093638279,0.84388083363125,0.9207416885618496,0.7456967688725836,0.6704900270623534,0.569084212406669,0.6635807675820613,0.17167462303735548,0.6902192655589712,0.8608398865493919,1.0,0.8987790751309432,0.8282481737062656,0.8771012474097983,0.5080942908761927,0.8612436891053132,0.8861904751037406,0.27421913186143,0.7299105355111362,0.8344482402852895,0.020149066573941655,0.8401709066695352,0.9108858833834161,0.9083201728705613,0.3366811021033888,0.839156390969118,0.8884439533223447,unknown_14
17,14,13,14,9,21,1,1,13,10,9,16,1.0,1.0,1.0,1.0,0.5294117647058824,1.0,0.07692307692307693,0.14285714285714285,0.7647058823529411,1.0,1.0,1.0,45,90,114,0.26785714285714285,0.5357142857142857,0.6785714285714286,0.8214285714285714,168,0.561355381088877,0.7868536359824169,-0.00410680554699425,0.9268729811844597,0.9117536696777827,0.9200749046809523,0.8459880415661115,0.6994201265710674,0.7009637267818072,0.4939806464264125,0.3368994248598398,0.6703731872019634,0.9745870595514374,0.8987790751309432,1.0,0.8603273627281038,0.9380532094716234,0.4359831919946134,0.9018200888028427,0.942145149713492,0.5260605511618263,0.8158055331959981,0.8230287137496991,0.2763763807319944,0.8394340962213608,0.9047232172821184,0.9833484822131339,0.17424194870767226,0.8709429263452091,0.9281501609201317,unknown_15
7,2,8,6,2,6,2,1,2,2,7,4,1.0,1.0,1.0,0.8571428571428571,0.5,0.8571428571428571,0.25,0.3333333333333333,0.25,1.0,1.0,1.0,18,39,44,0.26865671641791045,0.582089552238806,0.6567164179104478,0.7313432835820896,67,0.41873536806955514,0.8845059209651529,0.01184672093393653,0.9507808973119344,0.7876135252417937,0.9547804646957356,0.8869120387569168,0.7413535399327522,0.6243210975780027,0.6549329359961101,0.18810822882360587,0.8471532286091674,0.7937855840338961,0.8282481737062656,0.8603273627281038,1.0,0.9598324098043387,0.4588768755703957,0.9545512282861962,0.8273357247929822,0.2926851864152444,0.7946166860744743,0.617325807419444,0.09129763420512654,0.90680187252496,0.9537644921557853,0.8989407051441516,0.10004980089244403,0.9603908826828811,0.910444732829552,female_16
29,24,30,37,9,26,3,0,14,23,31,27,1.0,1.0,1.0,1.0,0.5625,0.9629629629629629,0.09090909090909091,0.0,0.2978723404255319,1.0,1.0,1.0,106,190,228,0.29775280898876405,0.5337078651685393,0.6404494382022472,0.7106741573033708,356,0.4594837505657124,0.8826752121620526,0.006983048106408786,0.9568541506404891,0.8669536263683162,0.9715130883535115,0.8874415016439509,0.7749044174674922,0.7268991452406574,0.6825217606062121,0.25471445409919846,0.7681431158529514,0.8868167431029927,0.8771012474097983,0.9380532094716234,0.9598324098043387,1.0,0.4659727523795958,0.9545697783687599,0.8822355871475391,0.3302395411879673,0.8260242185369777,0.6748802578447859,0.17999664558107573,0.903260717097979,0.931524743950432,0.9495032889080647,0.17432059482975862,0.9455475923333806,0.9174557293508436,female_17
1,0,1,1,0,1,0,0,0,0,0,1,0.25,0.0,1.0,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,7,11,14,0.30434782608695654,0.4782608695652174,0.6086956521739131,0.21739130434782608,23,0.2687121137052121,0.4414018639799922,0.4928077963182521,0.533785724951125,0.24679529558346414,0.5341489687739436,0.21373624598638524,0.6639276408000178,0.6531995339967814,0.2896794674841188,0.12524658852011505,0.5446372253987598,0.4694876223878139,0.5080942908761927,0.4359831919946134,0.4588768755703957,0.4659727523795958,1.0,0.4955551335574627,0.4976256298479421,-0.1958292896090469,0.2639939231262851,0.24957042926975959,-0.08593865731582932,0.6630544253882287,0.4504796882277325,0.4818009578779714,0.35583201964464545,0.5877891636571392,0.5137822559886973,unkown_18
10,5,7,10,2,11,1,0,2,11,13,16,1.0,1.0,1.0,1.0,0.13333333333333333,1.0,0.16666666666666666,0.0,0.2222222222222222,1.0,1.0,1.0,31,63,83,0.25,0.5080645161290323,0.6693548387096774,0.7096774193548387,124,0.5080313686386879,0.8356671167659029,-0.09838756234654815,0.9522303035485419,0.8438011922864069,0.9824294527751023,0.9253946691070389,0.7630053527463995,0.6936747448659649,0.5515704714446102,0.2789357833532529,0.8149894870383264,0.8796505652010401,0.8612436891053132,0.9018200888028427,0.9545512282861962,0.9545697783687599,0.4955551335574627,1.0,0.9259439478010474,0.3926941671863111,0.8405376280413164,0.6894883836063622,0.07217457398288493,0.9541328273746941,0.9220836478376173,0.9381186831862274,0.036573489609591725,0.9523650838821981,0.9674344607316159,unkown_19
14,9,13,10,1,10,1,0,7,8,3,10,0.7368421052631579,0.9,0.9285714285714286,0.9090909090909091,0.125,1.0,0.1111111111111111,0.0,0.6363636363636364,0.8,1.0,1.0,31,63,87,0.248,0.504,0.696,0.688,125,0.6487522528474631,0.7111875201596216,-0.026818217490766648,0.8831164455116283,0.8678934250097139,0.9228341890029677,0.8281205166914837,0.6522760485066909,0.6786469288986949,0.4292660813217835,0.3344236156981504,0.7065644536565437,0.96197672483933,0.8861904751037406,0.942145149713492,0.8273357247929822,0.8822355871475391,0.4976256298479421,0.9259439478010474,1.0,0.5051579487840565,0.7884495219417501,0.8060375443323395,0.06626263962183847,0.8725496085114249,0.8623906894325838,0.948190658127976,0.1422086980647217,0.8521636810348889,0.9525407373430919,male_20
