user,counter,correct,recorded_result,mask_image,cb_type1,cb_type2,ncb,datetime,random_spread,pallet_used,pallet_values,ishihara_list,COLORS_ON,COLORS_OFF
PqPSs5b7uNc,21,0,U,C,0,0,1,04:28.4,10,Plates_34-35,"['#a6ad62', '#576f54', '#999d62', '#69653e', '#bfaf5f', '#a38f4f', '#fac243', '#d95415', '#ff814f', '#fdb654', '#b44747', '#bd7270']","[(161, 174, 94), (90, 117, 88), (149, 162, 102), (112, 96, 71), (188, 175, 89), (172, 142, 83), (249, 185, 74), (212, 92, 23), (253, 128, 82), (253, 177, 76), (170, 75, 72), (180, 115, 110)]","[(161, 174, 94), (90, 117, 88), (149, 162, 102), (112, 96, 71), (188, 175, 89), (172, 142, 83)]","[(249, 185, 74), (212, 92, 23), (253, 128, 82), (253, 177, 76), (170, 75, 72), (180, 115, 110)]"
PqPSs5b7uNc,22,1,B,B,0,0,1,04:39.4,10,Plates_2-5,"['#ea996d', '#f87562', '#e9cfc5', '#f4542d', '#fd8c42', '#e9cfc6', '#c6a04d', '#555531', '#827746', '#898144', '#c5aa3b', '#555532']","[(226, 156, 108), (250, 124, 101), (224, 209, 204), (234, 90, 35), (247, 134, 70), (226, 206, 195), (202, 159, 68), (90, 79, 51), (122, 109, 74), (128, 136, 65), (202, 163, 66), (80, 78, 50)]","[(226, 156, 108), (250, 124, 101), (224, 209, 204), (234, 90, 35), (247, 134, 70), (226, 206, 195)]","[(202, 159, 68), (90, 79, 51), (122, 109, 74), (128, 136, 65), (202, 163, 66), (80, 78, 50)]"
PqPSs5b7uNc,23,0,E,B,0,0,1,04:45.3,10,Plates_30-31,"['#9eab5e', '#5c6746', '#546942', '#bdbe75', '#6a6f4e', '#9caf5d', '#f6d01e', '#f9654c', '#faa06d', '#d5412c', '#facc33', '#f87653']","[(162, 171, 103), (90, 98, 68), (77, 97, 68), (194, 181, 122), (102, 102, 84), (146, 184, 86), (253, 204, 35), (250, 100, 77), (251, 150, 104), (206, 70, 35), (241, 208, 59), (251, 126, 91)]","[(162, 171, 103), (90, 98, 68), (77, 97, 68), (194, 181, 122), (102, 102, 84), (146, 184, 86)]","[(253, 204, 35), (250, 100, 77), (251, 150, 104), (206, 70, 35), (241, 208, 59), (251, 126, 91)]"
PqPSs5b7uNc,24,1,1,1,0,0,1,05:06.1,10,Plates_36-37,"['#fb6460', '#fb8a76', '#ef5e47', '#fa8757', '#fd7340', '#f96a52', '#716e29', '#4d493c', '#ab9b4e', '#706c44', '#455941', '#405030']","[(248, 93, 103), (253, 144, 125), (243, 93, 64), (253, 130, 85), (244, 117, 60), (246, 109, 72), (104, 110, 38), (86, 63, 57), (163, 149, 69), (118, 110, 76), (75, 95, 56), (71, 72, 54)]","[(248, 93, 103), (253, 144, 125), (243, 93, 64), (253, 130, 85), (244, 117, 60), (246, 109, 72)]","[(104, 110, 38), (86, 63, 57), (163, 149, 69), (118, 110, 76), (75, 95, 56), (71, 72, 54)]"
PqPSs5b7uNc,25,0,U,3,0,0,1,05:11.2,10,Plates_34-35,"['#a6ad62', '#576f54', '#999d62', '#69653e', '#bfaf5f', '#a38f4f', '#fac243', '#d95415', '#ff814f', '#fdb654', '#b44747', '#bd7270']","[(168, 180, 97), (88, 115, 84), (159, 162, 106), (102, 109, 64), (200, 178, 93), (155, 144, 72), (253, 195, 67), (207, 81, 28), (252, 125, 74), (246, 187, 88), (176, 75, 78), (179, 115, 116)]","[(168, 180, 97), (88, 115, 84), (159, 162, 106), (102, 109, 64), (200, 178, 93), (155, 144, 72)]","[(253, 195, 67), (207, 81, 28), (252, 125, 74), (246, 187, 88), (176, 75, 78), (179, 115, 116)]"
PqPSs5b7uNc,26,0,2,A,0,1,1,05:14.5,10,Plates_22-27P,"['#fe5b55', '#f95c50', '#9d4053', '#f55d52', '#9d4054', '#fe5b51', '#7d6b5f', '#23262d', '#4e4245', '#7e6c5c', '#827059', '#4e4240']","[(244, 99, 91), (254, 99, 77), (158, 54, 74), (253, 94, 79), (164, 73, 79), (254, 99, 71), (116, 111, 104), (33, 35, 39), (71, 65, 62), (120, 114, 87), (139, 121, 96), (87, 56, 65)]","[(244, 99, 91), (254, 99, 77), (158, 54, 74), (253, 94, 79), (164, 73, 79), (254, 99, 71)]","[(116, 111, 104), (33, 35, 39), (71, 65, 62), (120, 114, 87), (139, 121, 96), (87, 56, 65)]"
PqPSs5b7uNc,27,1,2,2,0,1,1,05:20.8,10,Plates_22-27P,"['#fe5b55', '#f95c50', '#9d4053', '#f55d52', '#9d4054', '#fe5b51', '#7d6b5f', '#23262d', '#4e4245', '#7e6c5c', '#827059', '#4e4240']","[(251, 84, 86), (245, 83, 80), (148, 56, 86), (243, 85, 80), (157, 67, 74), (253, 90, 79), (133, 98, 98), (31, 41, 48), (74, 63, 76), (119, 117, 94), (138, 104, 85), (79, 61, 70)]","[(251, 84, 86), (245, 83, 80), (148, 56, 86), (243, 85, 80), (157, 67, 74), (253, 90, 79)]","[(133, 98, 98), (31, 41, 48), (74, 63, 76), (119, 117, 94), (138, 104, 85), (79, 61, 70)]"
PqPSs5b7uNc,28,0,U,N,0,0,1,05:26.7,10,Plates_32-33,"['#f98f4f', '#dc522e', '#f2693c', '#eea055', '#ff6839', '#eea050', '#6f6a22', '#d0bd5a', '#8b8134', '#6b8382', '#6c7f82', '#d6b04a']","[(239, 139, 87), (217, 87, 50), (232, 103, 61), (234, 163, 75), (252, 102, 57), (247, 168, 70), (117, 102, 26), (214, 181, 81), (136, 132, 61), (114, 130, 136), (104, 133, 124), (206, 173, 83)]","[(239, 139, 87), (217, 87, 50), (232, 103, 61), (234, 163, 75), (252, 102, 57), (247, 168, 70)]","[(117, 102, 26), (214, 181, 81), (136, 132, 61), (114, 130, 136), (104, 133, 124), (206, 173, 83)]"
PqPSs5b7uNc,29,1,4,4,1,0,1,05:31.0,10,greys,"['#f2bbce', '#a43b67', '#ce7997', '#f2bbce', '#a43b67', '#ce7997', '#969696', '#dddddd', '#636363', '#969696', '#cccccc', '#636363']","[(244, 179, 215), (165, 60, 108), (200, 117, 155), (233, 188, 214), (169, 63, 108), (212, 125, 141), (141, 159, 150), (222, 214, 221), (93, 100, 104), (149, 143, 150), (203, 195, 205), (91, 101, 97)]","[(244, 179, 215), (165, 60, 108), (200, 117, 155), (233, 188, 214), (169, 63, 108), (212, 125, 141)]","[(141, 159, 150), (222, 214, 221), (93, 100, 104), (149, 143, 150), (203, 195, 205), (91, 101, 97)]"
PqPSs5b7uNc,30,0,3,B,0,0,1,05:35.1,10,Plates_14-17,"['#a3ae5e', '#4c5b35', '#91ae46', '#616a3b', '#a0b164', '#a5ae5f', '#ee5149', '#f39935', '#fad600', '#fb9a5e', '#f3d92d', '#eb952e']","[(155, 174, 101), (76, 95, 54), (144, 183, 61), (91, 115, 52), (162, 179, 92), (158, 175, 85), (243, 73, 63), (247, 157, 55), (254, 214, 5), (245, 159, 90), (239, 220, 46), (238, 151, 44)]","[(155, 174, 101), (76, 95, 54), (144, 183, 61), (91, 115, 52), (162, 179, 92), (158, 175, 85)]","[(243, 73, 63), (247, 157, 55), (254, 214, 5), (245, 159, 90), (239, 220, 46), (238, 151, 44)]"
PqPSs5b7uNc,31,0,U,5,0,0,1,05:44.5,10,Plates_30-31,"['#9eab5e', '#5c6746', '#546942', '#bdbe75', '#6a6f4e', '#9caf5d', '#f6d01e', '#f9654c', '#faa06d', '#d5412c', '#facc33', '#f87653']","[(166, 169, 90), (88, 96, 71), (85, 107, 69), (197, 190, 126), (109, 113, 73), (158, 177, 100), (248, 206, 33), (250, 107, 83), (242, 157, 108), (209, 68, 35), (248, 208, 53), (239, 126, 75)]","[(166, 169, 90), (88, 96, 71), (85, 107, 69), (197, 190, 126), (109, 113, 73), (158, 177, 100)]","[(248, 206, 33), (250, 107, 83), (242, 157, 108), (209, 68, 35), (248, 208, 53), (239, 126, 75)]"
PqPSs5b7uNc,32,1,2,2,1,0,1,05:49.6,10,greys,"['#f2bbce', '#a43b67', '#ce7997', '#f2bbce', '#a43b67', '#ce7997', '#969696', '#dddddd', '#636363', '#969696', '#cccccc', '#636363']","[(242, 185, 201), (162, 62, 108), (211, 114, 152), (239, 194, 200), (167, 62, 108), (200, 124, 150), (157, 157, 143), (213, 216, 230), (99, 107, 104), (146, 154, 142), (201, 194, 197), (100, 96, 95)]","[(242, 185, 201), (162, 62, 108), (211, 114, 152), (239, 194, 200), (167, 62, 108), (200, 124, 150)]","[(157, 157, 143), (213, 216, 230), (99, 107, 104), (146, 154, 142), (201, 194, 197), (100, 96, 95)]"
PqPSs5b7uNc,33,1,3,3,1,0,1,05:55.3,10,greys,"['#f2bbce', '#a43b67', '#ce7997', '#f2bbce', '#a43b67', '#ce7997', '#969696', '#dddddd', '#636363', '#969696', '#cccccc', '#636363']","[(251, 194, 200), (166, 63, 95), (207, 129, 146), (248, 189, 203), (159, 64, 100), (196, 126, 142), (155, 140, 159), (211, 226, 213), (108, 108, 95), (157, 150, 151), (213, 213, 201), (105, 105, 101)]","[(251, 194, 200), (166, 63, 95), (207, 129, 146), (248, 189, 203), (159, 64, 100), (196, 126, 142)]","[(155, 140, 159), (211, 226, 213), (108, 108, 95), (157, 150, 151), (213, 213, 201), (105, 105, 101)]"
PqPSs5b7uNc,34,1,D,D,0,0,1,06:00.6,10,Plates_36-37,"['#fb6460', '#fb8a76', '#ef5e47', '#fa8757', '#fd7340', '#f96a52', '#716e29', '#4d493c', '#ab9b4e', '#706c44', '#455941', '#405030']","[(243, 90, 97), (245, 132, 108), (237, 95, 79), (240, 132, 78), (250, 118, 58), (254, 99, 89), (112, 116, 32), (85, 64, 60), (165, 145, 80), (106, 111, 70), (75, 90, 57), (66, 72, 41)]","[(243, 90, 97), (245, 132, 108), (237, 95, 79), (240, 132, 78), (250, 118, 58), (254, 99, 89)]","[(112, 116, 32), (85, 64, 60), (165, 145, 80), (106, 111, 70), (75, 90, 57), (66, 72, 41)]"
PqPSs5b7uNc,35,1,C,C,0,0,1,06:04.2,10,inverse_ring,"['#3a4c78', '#b27180', '#95507b', '#515267', '#314070', '#bd4f75', '#cb607f', '#B47E94', '#da567e', '#b55d7a', '#666177', '#54516f']","[(48, 80, 122), (171, 110, 135), (150, 87, 119), (85, 73, 98), (42, 57, 104), (183, 69, 108), (199, 103, 126), (187, 118, 151), (208, 76, 119), (177, 94, 115), (93, 87, 109), (78, 82, 114)]","[(48, 80, 122), (171, 110, 135), (150, 87, 119), (85, 73, 98), (42, 57, 104), (183, 69, 108)]","[(199, 103, 126), (187, 118, 151), (208, 76, 119), (177, 94, 115), (93, 87, 109), (78, 82, 114)]"
PqPSs5b7uNc,36,1,4,4,0,0,1,06:07.7,10,Plates_10-13,"['#bc5325', '#f5a957', '#e87941', '#ff793b', '#c74e25', '#f9703b', '#f4d66f', '#bcb778', '#796b3b', '#b39e47', '#5c7579', '#5c7578']","[(190, 75, 29), (244, 174, 89), (232, 119, 67), (254, 123, 58), (189, 75, 43), (252, 105, 64), (252, 218, 101), (180, 178, 127), (130, 116, 55), (173, 149, 78), (94, 121, 124), (92, 110, 114)]","[(190, 75, 29), (244, 174, 89), (232, 119, 67), (254, 123, 58), (189, 75, 43), (252, 105, 64)]","[(252, 218, 101), (180, 178, 127), (130, 116, 55), (173, 149, 78), (94, 121, 124), (92, 110, 114)]"
